time	sensor_1	sensor_2	sensor_3	sensor_4	sensor_5	sensor_6	sensor_7	sensor_8	sensor_9	sensor_10	sensor_11	sensor_12	sensor_13	sensor_14	sensor_15	sensor_16	sensor_17
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900	0,00505956876369	0,00475718017256	0	0,00521776024798	0,00521776024798	0,00574842063628	0,00436914483967	0,00475718017256	0	0,00316213362825	0,00622667757614	0,00444953846389	0,00431599255963	0,00444953846389	0,0100613980987	0,00432499681379	0,00407265705594
1800	-0,0336552418399	-0,0382507111833	0	-0,0315445857202	-0,0315445857202	-0,0227221106117	-0,0584506384051	-0,0382507111833	0	-6,20738969428	-0,0114919148258	-0,0611446385312	-0,0379096887662	-0,0611446385312	0,00876743288934	-0,198805372799	-0,0722076319263
2700	0,0119438998818	0,0123471578893	0	0,0117323228408	0,0117323228408	0,0105014622521	0,0135996942398	0,0123471578893	0	0,0166293380538	0,00594799451355	0,0135251886256	0,0122933809061	0,0135251886256	-0,0136649771394	0,0155435520702	0,0138812671261
3600	-0,000107835817423	-0,000510385314126	0	9,5907662314e-05	9,5907662314e-05	-0,000443581024113	0,000852388554695	-0,000510385314126	0	-0,000472015438379	0,000405216830884	-0,000516423245735	-7,58222192504e-05	-0,000516423245735	0,00287254585757	-0,00138916081139	-2,43677393949e-05
4500	-0,00218884453583	-0,00180875856652	0	-0,00238723672055	-0,00238723672055	-0,00378022403161	-0,000725753072321	-0,00180875856652	0	4,45847391281e-05	-0,00428545435343	-0,00153177407544	-0,000888595309667	-0,00153177407544	0,00178387976584	-0,00262545667149	-0,000973251576164
5400	-0,00307218915611	-0,00273138630514	0	-0,00325487581276	-0,00325487581276	-0,00255102032223	-0,00416489691876	-0,00273138630514	0	-0,00278551095559	0,00391462350746	-0,00135941912526	-0,00279643025891	-0,00135941912526	-0,00740574389946	-0,00045173110852	-0,00163248381256
6300	-0,00173546808069	-0,00148556553309	0	-0,00187228334267	-0,00187228334267	-0,00106858852642	-0,00302607836921	-0,00148556553309	0	-0,00148638805238	0,00253578690828	-0,000796994968823	-0,000640774519317	-0,000796994968823	0,00578929775324	-0,00149994010292	-0,00122455742737
7200	0,0020737025378	0,0019723765369	0	0,00212858422054	0,00212858422054	0,00224831549084	0,00195317642342	0,0019723765369	0	0,000368135339705	-0,00250572867591	0,000846629332205	0,000456770203211	0,000846629332205	-0,0392011552068	0,00151361090548	0,00199052681598
8100	-0,0041137026186	-0,00446979613877	0	-0,0039257761638	-0,0039257761638	-0,00339880408331	-0,00474976619961	-0,00446979613877	0	-0,00397189390457	-0,00662914659252	-0,00446145300929	-0,00492767639107	-0,00446145300929	-0,110416625612	-0,00313098101125	-0,00502780045992
9000	-0,000926431402691	-0,0010347335076	0	-0,000869808945545	-0,000869808945545	-0,000962080927268	-0,000727448877624	-0,0010347335076	0	-0,00120811239136	-0,00569396982114	-0,00214116196082	-0,000401812355146	-0,00214116196082	0,0150059198488	-0,00351726285955	-0,00229054379093
9900	0,000282653409975	0,00070070688116	0	5,52557339112e-05	5,52557339112e-05	-0,00104466463061	0,00150769053307	0,00070070688116	0	0,00218557270236	-0,000190477228502	0,00126255353667	0,00101024837852	0,00126255353667	0,00716031482965	0,000310269348495	0,00130434453577
10800	-0,00179787946371	-0,0020371603142	0	-0,00167027493428	-0,00167027493428	-0,00171162340118	-0,00161595802473	-0,0020371603142	0	-0,00205488753948	0,00166893696176	-0,00136398420322	-0,00210681425198	-0,00136398420322	-0,00242431743874	-0,00132652925806	-0,0012593143048
11700	0,000864585229072	0,0007595128966	0	0,000920050966963	0,000920050966963	0,00153589594478	3,05825553101e-05	0,0007595128966	0	-0,00132956803491	0,00429133289103	0,000808825342737	0,00015810877161	0,000808825342737	-0,708905070532	0,0031650687021	0,000419890331611
12600	0,00116561291559	0,00122508382366	0	0,00113403212305	0,00113403212305	0,00150391911118	0,000566783754917	0,00122508382366	0	0,00152167521958	-0,000592775261198	0,00109222202559	0,000973949711157	0,00109222202559	0,0128867108193	0,00103508688076	0,00129342896263
13500	0,0010980814563	0,00106453923763	0	0,00111583245112	0,00111583245112	0,00131573186494	0,000798951811433	0,00106453923763	0	0,000258842195216	0,000528731160734	0,000486877964904	0,00127590136068	0,000486877964904	0,014100902957	-0,00117836303558	0,000689876967427
14400	-0,00226990441868	-0,0022859406235	0	-0,00226142476258	-0,00226142476258	-0,00270255504395	-0,0016018820285	-0,0022859406235	0	-0,00131080011108	-0,00337957897641	-0,0024678035728	-0,00120529352017	-0,0024678035728	0,00882854312224	-0,00449589539264	-0,00276214781192
15300	-0,00210730832011	-0,00196575591706	0	-0,00218299884438	-0,00218299884438	-0,003023822741	-0,00105177231793	-0,00196575591706	0	-0,000292694349424	-0,0012995812341	-0,00107952573623	-0,00165344303665	-0,00107952573623	0,000222115418809	-0,00128596043304	-0,00115868997139
16200	0,0025297003422	0,00272754350608	0	0,00242158122391	0,00242158122391	0,00268908115772	0,00204511113234	0,00272754350608	0	0,00255768643709	0,00566824826884	0,00288326598925	0,00378387707904	0,00288326598925	-0,107343054601	0,00619594617835	0,00137387631427
17100	-0,000959122582801	-0,00123410334486	0	-0,000812391504604	-0,000812391504604	-0,000487282338157	-0,00129138481371	-0,00123410334486	0	-0,00244096381915	-0,00163069205028	-0,000970474797225	-0,00366100347532	-0,000970474797225	-0,0340932715662	-0,00195086199581	0,000633434352713
18000	2,77539180063e-05	-9,21194632897e-05	0	9,10193336692e-05	9,10193336692e-05	0,000116266918075	5,36805415237e-05	-9,21194632897e-05	0	-0,000846351727887	-0,0179039743532	-0,00222532869434	-0,00140232714836	-0,00222532869434	0,0125025344096	-0,00283184423075	-0,002393672807
18900	0,00047819076	0,000470544676786	0	0,00048222260261	0,00048222260261	0,000335023119897	0,00069511630045	0,000470544676786	0	0,00122847090692	0,00341054926627	0,000990383688448	0,00125395704944	0,000990383688448	0,0109626301364	-0,000509727845169	0,0014691983164
19800	-0,00129340434412	-0,0014093009602	0	-0,00123287667552	-0,00123287667552	-0,00151391113545	-0,000841451193782	-0,0014093009602	0	-0,00131332220949	0,00102880308774	-0,00109335730908	-0,00104061787722	-0,00109335730908	0,00746534074224	-0,00219315474333	-0,00169288081237
20700	0,00139009016785	0,0015309304632	0	0,00131548893703	0,00131548893703	0,00139358384441	0,00120537734386	0,0015309304632	0	0,00197181547925	0,00200537306257	0,00194451642988	0,00126678304761	0,00194451642988	-0,0375252647941	0,00388044927942	0,00191051782671
21600	0,00131487511786	0,00151451910707	0	0,00120698068652	0,00120698068652	0,00164923323163	0,000537247852116	0,00151451910707	0	0,00198151616421	0,00396562520846	0,00223094369534	0,00151577609908	0,00223094369534	-0,00238522317028	0,00412138063195	0,00114204248071
22500	0,000980277539774	0,000844285870126	0	0,00105280091523	0,00105280091523	0,000730976588519	0,00151614727621	0,000844285870126	0	8,06388113191e-05	-0,00102213610918	-9,7181572139e-05	0,0013402655221	-9,7181572139e-05	0,0104111952777	-0,00328581786226	0,000799838358138
23400	0,000658690612841	0,000605707878721	0	0,000686802793754	0,000686802793754	0,000389305332136	0,00109651519404	0,000605707878721	0	-2,44738986389e-05	-0,00205879433699	6,67274642021e-05	6,42935871091e-05	6,67274642021e-05	0,00407446322214	-0,00157881960415	0,00101655287997
24300	-0,000584922889354	-0,000758099129316	0	-0,000494423302216	-0,000494423302216	-0,000631722336906	-0,000308864227513	-0,000758099129316	0	-0,000162824298002	-0,00016658045534	-0,000704654934735	8,63022838761e-05	-0,000704654934735	0,00404666574317	-0,00122184875681	-0,00112599765911
25200	0,00186779083522	0,00192864902353	0	0,00183578420385	0,00183578420385	0,0023433970968	0,00108969964573	0,00192864902353	0	0,00159697927635	0,00556064282798	0,00268325372387	0,00156933327121	0,00268325372387	-0,0507578265784	0,00398671993381	0,00341883744442
26100	0,000410222585343	0,000669510555711	0	0,000270467773722	0,000270467773722	0,000196210325149	0,000378402974484	0,000669510555711	0	0,00170878811352	-0,000870489820905	0,000875550458216	0,000761489518972	0,000875550458216	-0,00683470646955	0,00114077008259	0,000812736544227
